x-axis,1,2,3
second,Volt,Volt,Volt
-1.781250E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.779688E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.778125E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.776563E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.775000E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.773438E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.771875E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.770313E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.768750E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.767188E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.765625E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.764063E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.762500E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.760938E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.759375E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.757813E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.756250E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.754688E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.753125E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.751563E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.750000E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.748438E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.746875E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.745313E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.743750E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.742188E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.740625E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.739063E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.737500E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.735938E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.734375E+00,+1.432318E+00,+4.502670E+00,-19.943E-03
-1.732813E+00,+1.432318E+00,+4.502670E+00,-24.969E-03
-1.731250E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.729688E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.728125E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.726563E+00,+1.432318E+00,+4.502670E+00,-24.969E-03
-1.725000E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.723438E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.721875E+00,+1.432318E+00,+4.502670E+00,-24.969E-03
-1.720313E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.718750E+00,+1.432318E+00,+4.502670E+00,-24.969E-03
-1.717188E+00,+1.432318E+00,+4.502670E+00,-24.969E-03
-1.715625E+00,+1.432318E+00,+4.502670E+00,-24.969E-03
-1.714063E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.712500E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.710938E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.709375E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.707813E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.706250E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.704688E+00,+1.432318E+00,+4.502670E+00,-24.969E-03
-1.703125E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.701563E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.700000E+00,+1.422268E+00,+4.502670E+00,-24.969E-03
-1.698438E+00,+1.422268E+00,+4.502670E+00,-24.969E-03
-1.696875E+00,+1.422268E+00,+4.502670E+00,-24.969E-03
-1.695313E+00,+1.422268E+00,+4.502670E+00,-24.969E-03
-1.693750E+00,+1.422268E+00,+4.502670E+00,-24.969E-03
-1.692188E+00,+1.422268E+00,+4.502670E+00,-24.969E-03
-1.690625E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.689063E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.687500E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.685938E+00,+1.422268E+00,+4.502670E+00,-24.969E-03
-1.684375E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.682813E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.681250E+00,+1.422268E+00,+4.502670E+00,-24.969E-03
-1.679688E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.678125E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.676563E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.675000E+00,+1.427293E+00,+4.502670E+00,-24.969E-03
-1.673438E+00,+1.422268E+00,+4.502670E+00,-24.969E-03
-1.671875E+00,+1.422268E+00,+4.502670E+00,-24.969E-03
-1.670313E+00,+1.422268E+00,+4.502670E+00,-24.969E-03
-1.668750E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.667188E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.665625E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.664063E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.662500E+00,+1.351916E+00,+4.502670E+00,-4.868E-03
-1.660938E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.659375E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.657813E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.656250E+00,+1.351916E+00,+4.502670E+00,-4.868E-03
-1.654688E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.653125E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.651563E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.650000E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.648438E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.646875E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.645313E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.643750E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.642188E+00,+1.351916E+00,+4.502670E+00,-4.868E-03
-1.640625E+00,+1.351916E+00,+4.502670E+00,-9.893E-03
-1.639063E+00,+1.366991E+00,+4.502670E+00,-4.868E-03
-1.637500E+00,+1.417242E+00,+4.502670E+00,+5.182E-03
-1.635938E+00,+1.417242E+00,+4.502670E+00,+157E-06
-1.634375E+00,+1.417242E+00,+4.502670E+00,+157E-06
-1.632813E+00,+1.417242E+00,+4.502670E+00,+157E-06
-1.631250E+00,+1.417242E+00,+4.502670E+00,+5.182E-03
-1.629688E+00,+1.417242E+00,+4.502670E+00,+5.182E-03
-1.628125E+00,+1.417242E+00,+4.502670E+00,+5.182E-03
-1.626563E+00,+1.417242E+00,+4.502670E+00,+5.182E-03
-1.625000E+00,+1.417242E+00,+4.502670E+00,+5.182E-03
-1.623438E+00,+1.417242E+00,+4.502670E+00,+5.182E-03
-1.621875E+00,+1.417242E+00,+4.502670E+00,+157E-06
-1.620313E+00,+1.417242E+00,+4.502670E+00,+5.182E-03
-1.618750E+00,+1.417242E+00,+4.502670E+00,+157E-06
-1.617188E+00,+1.417242E+00,+4.502670E+00,+157E-06
-1.615625E+00,+1.417242E+00,+4.502670E+00,+157E-06
-1.614063E+00,+1.417242E+00,+4.502670E+00,+157E-06
-1.612500E+00,+1.417242E+00,+4.502670E+00,+157E-06
-1.610938E+00,+1.417242E+00,+4.502670E+00,+5.182E-03
-1.609375E+00,+1.417242E+00,+4.502670E+00,+5.182E-03
-1.607813E+00,+1.417242E+00,+4.502670E+00,+157E-06
-1.606250E+00,+1.417242E+00,+4.502670E+00,+157E-06
-1.604688E+00,+1.407192E+00,+4.502670E+00,+157E-06
-1.603125E+00,+1.407192E+00,+4.502670E+00,+157E-06
-1.601563E+00,+1.407192E+00,+4.502670E+00,+157E-06
-1.600000E+00,+1.407192E+00,+4.502670E+00,+157E-06
-1.598438E+00,+1.407192E+00,+4.502670E+00,+157E-06
-1.596875E+00,+1.407192E+00,+4.502670E+00,+157E-06
-1.595313E+00,+1.407192E+00,+4.502670E+00,+157E-06
-1.593750E+00,+1.402167E+00,+4.502670E+00,+157E-06
-1.592188E+00,+1.402167E+00,+4.502670E+00,+157E-06
