x-axis,1,2,3
second,Volt,Volt,Volt
-6.940000E+00,-95.477E-03,+256.281E-03,+1.125628E+00
-6.937500E+00,-80.402E-03,+316.583E-03,+1.125628E+00
-6.935000E+00,-140.704E-03,+256.281E-03,+1.125628E+00
-6.932500E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-6.930000E+00,-160.804E-03,+321.608E-03,+1.125628E+00
-6.927500E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-6.925000E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-6.922500E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-6.920000E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-6.917500E+00,-110.553E-03,+271.357E-03,+1.125628E+00
-6.915000E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-6.912500E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-6.910000E+00,-95.477E-03,+321.608E-03,+1.105528E+00
-6.907500E+00,-160.804E-03,+286.432E-03,+1.125628E+00
-6.905000E+00,-110.553E-03,+321.608E-03,+1.125628E+00
-6.902500E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-6.900000E+00,-155.779E-03,+321.608E-03,+1.125628E+00
-6.897500E+00,-140.704E-03,+241.206E-03,+1.125628E+00
-6.895000E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-6.892500E+00,-110.553E-03,+286.432E-03,+1.075377E+00
-6.890000E+00,-160.804E-03,+321.608E-03,+1.125628E+00
-6.887500E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-6.885000E+00,-80.402E-03,+301.508E-03,+1.125628E+00
-6.882500E+00,-110.553E-03,+241.206E-03,+1.206030E+00
-6.880000E+00,-80.402E-03,+241.206E-03,+1.236181E+00
-6.877500E+00,-80.402E-03,+321.608E-03,+1.221106E+00
-6.875000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.872500E+00,-80.402E-03,+256.281E-03,+1.266332E+00
-6.870000E+00,-80.402E-03,+271.357E-03,+1.206030E+00
-6.867500E+00,-110.553E-03,+286.432E-03,+1.206030E+00
-6.865000E+00,-95.477E-03,+256.281E-03,+1.206030E+00
-6.862500E+00,-155.779E-03,+241.206E-03,+1.206030E+00
-6.860000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.857500E+00,-110.553E-03,+286.432E-03,+1.206030E+00
-6.855000E+00,-110.553E-03,+241.206E-03,+1.236181E+00
-6.852500E+00,-160.804E-03,+301.508E-03,+1.206030E+00
-6.850000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.847500E+00,-95.477E-03,+241.206E-03,+1.221106E+00
-6.845000E+00,-125.628E-03,+241.206E-03,+1.236181E+00
-6.842500E+00,-110.553E-03,+241.206E-03,+1.206030E+00
-6.840000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.837500E+00,-80.402E-03,+316.583E-03,+1.206030E+00
-6.835000E+00,-140.704E-03,+256.281E-03,+1.206030E+00
-6.832500E+00,-125.628E-03,+241.206E-03,+1.236181E+00
-6.830000E+00,-110.553E-03,+241.206E-03,+1.236181E+00
-6.827500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.825000E+00,-160.804E-03,+241.206E-03,+1.206030E+00
-6.822500E+00,-160.804E-03,+256.281E-03,+1.221106E+00
-6.820000E+00,-80.402E-03,+241.206E-03,+1.251256E+00
-6.817500E+00,-80.402E-03,+241.206E-03,+1.236181E+00
-6.815000E+00,-95.477E-03,+256.281E-03,+1.206030E+00
-6.812500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.810000E+00,-80.402E-03,+301.508E-03,+1.206030E+00
-6.807500E+00,-160.804E-03,+271.357E-03,+1.206030E+00
-6.805000E+00,-110.553E-03,+241.206E-03,+1.206030E+00
-6.802500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.800000E+00,-80.402E-03,+316.583E-03,+1.206030E+00
-6.797500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.795000E+00,-125.628E-03,+271.357E-03,+1.206030E+00
-6.792500E+00,-80.402E-03,+286.432E-03,+1.251256E+00
-6.790000E+00,-95.477E-03,+321.608E-03,+1.206030E+00
-6.787500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.785000E+00,-160.804E-03,+241.206E-03,+1.206030E+00
-6.782500E+00,-110.553E-03,+241.206E-03,+1.206030E+00
-6.780000E+00,-125.628E-03,+241.206E-03,+1.206030E+00
-6.777500E+00,-95.477E-03,+301.508E-03,+1.206030E+00
-6.775000E+00,-80.402E-03,+321.608E-03,+1.206030E+00
-6.772500E+00,-95.477E-03,+241.206E-03,+1.206030E+00
-6.770000E+00,-80.402E-03,+241.206E-03,+1.251256E+00
-6.767500E+00,-110.553E-03,+286.432E-03,+1.251256E+00
-6.765000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.762500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
